temp,core freq,arm freq,volt,sec
59.0,500.000992,1500.345728,0.8563,544
58.0,200.008304,600.117184,0.835,546
58.0,199.99512,600.117184,0.835,548
59.0,500.000992,1500.345728,0.8563,550
59.0,500.000992,1500.398464,0.8563,552
58.0,199.99512,600.16992,0.835,554
58.0,199.99512,600.117184,0.835,556
58.0,499.987808,1500.398464,0.8563,558
59.0,500.000992,1500.345728,0.8563,560
58.0,199.99512,600.117184,0.8563,562
57.0,199.99512,600.16992,0.835,564
57.0,250.000496,750.146496,0.8563,566
57.0,200.008304,600.117184,0.835,568
57.0,199.99512,600.16992,0.835,570
57.0,199.99512,600.16992,0.835,572
58.0,499.987808,1500.345728,0.8563,574
58.0,500.000992,1500.398464,0.8563,576
58.0,199.99512,600.16992,0.8563,578
57.0,200.008304,600.117184,0.835,580
58.0,500.000992,1500.398464,0.8563,582
59.0,500.000992,1500.398464,0.8563,584
58.0,200.008304,600.16992,0.835,586
57.0,200.008304,600.16992,0.835,588
57.0,500.000992,1500.398464,0.8563,590
58.0,500.000992,1500.345728,0.8563,592
59.0,200.008304,600.16992,0.835,594
59.0,500.000992,1500.345728,0.8563,596
58.0,500.000992,1500.345728,0.8563,598
58.0,200.008304,600.117184,0.835,600
58.0,500.000992,1500.345728,0.8563,602
59.0,500.000992,1500.398464,0.8563,604
58.0,200.008304,600.117184,0.835,606
59.0,499.987808,1500.398464,0.8563,608
58.0,500.000992,1500.345728,0.8563,610
58.0,199.99512,600.16992,0.835,612
59.0,500.000992,1500.345728,0.8563,614
58.0,500.000992,1500.398464,0.8563,616
58.0,199.99512,600.16992,0.835,618
59.0,500.000992,1500.398464,0.8563,620
58.0,500.000992,1500.345728,0.8563,622
58.0,200.008304,600.117184,0.835,624
59.0,500.000992,1500.345728,0.8563,626
59.0,500.000992,1500.398464,0.8563,628
58.0,200.008304,600.16992,0.835,630
57.0,200.008304,600.117184,0.835,632
59.0,500.000992,1500.345728,0.8563,634
58.0,500.000992,1500.345728,0.8563,636
57.0,199.99512,600.16992,0.835,638
59.0,500.000992,1500.345728,0.8563,640
59.0,500.000992,1500.345728,0.8563,642
59.0,199.99512,600.117184,0.835,644
58.0,500.000992,1500.398464,0.8563,646
58.0,500.000992,1500.345728,0.8563,648
58.0,200.008304,600.16992,0.835,650
58.0,199.99512,600.117184,0.8563,652
58.0,499.987808,1500.345728,0.8563,654
59.0,500.000992,1500.345728,0.8563,656
58.0,199.99512,600.16992,0.835,658
60.0,499.987808,1500.345728,0.8563,660
59.0,500.000992,1500.345728,0.8563,662
58.0,199.99512,600.16992,0.835,664
59.0,199.99512,750.146496,0.8563,666
57.0,200.008304,600.16992,0.8563,668
58.0,500.000992,1500.398464,0.8563,670
58.0,500.000992,1500.345728,0.8563,672
58.0,200.008304,600.16992,0.835,674
59.0,500.000992,1500.345728,0.8563,676
58.0,500.000992,1500.345728,0.8563,678
59.0,500.000992,1500.398464,0.8563,680
60.0,500.000992,1500.398464,0.8563,682
58.0,500.000992,1500.345728,0.8563,684
59.0,200.008304,600.117184,0.835,686
59.0,199.99512,600.16992,0.835,688
59.0,500.000992,1500.398464,0.8563,690
59.0,500.000992,1500.345728,0.8563,692
57.0,199.99512,750.199232,0.8563,694
57.0,200.008304,600.117184,0.835,696
58.0,250.000496,750.199232,0.8563,698
57.0,199.99512,600.117184,0.8563,700
57.0,199.99512,600.16992,0.835,702
59.0,500.000992,1500.398464,0.8563,704
58.0,499.987808,1500.398464,0.8563,706
57.0,199.99512,600.16992,0.835,708
59.0,500.000992,1500.398464,0.8563,710
58.0,500.000992,1500.345728,0.8563,712
